"curs","any","codi_centre","denominaci_completa","codi_naturalesa","nom_naturalesa","codi_titularitat","nom_titularitat","adre_a","codi_postal","tel_fon","codi_delegaci","nom_delegaci","codi_comarca","nom_comarca","codi_municipi","codi_municipi_6","nom_municipi","codi_districte_municipal","nom_dm","codi_localitat","nom_localitat","coordenades_utm_x","coordenades_utm_y","coordenades_geo_x","coordenades_geo_y","e_mail_centre","url","imatge","einf1c","einf2c","epri","eso","batx","aa01","cfpm","ppas","aa03","cfps","ee","ife","pfi","pa01","cfam","pa02","cfas","esdi","escm","escs","adr","crbc","idi","dane","danp","dans","muse","musp","muss","tegm","tegs","estr","adults","geo_1"
"2020/2021","2020","43012897","AFENTD","2","Privat","31","Associacions","c. Sant Benilde, 15","43006",,"0143","Tarragona","36","Tarragonès","43148","431482","Tarragona","00",,"13","Tarragona","349955.096","4553598.231","1.212706479","41.119825085","e3012897@xtec.cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TEGM","TEGS",,,"POINT (1212706479 41119825085)"
"2020/2021","2020","43012939","Òrgan Gestor del Complex Educatiu de Tarragona","1","Públic","01","Departament d'Educació","ctra. de Salou, s/n","43004",,"0143","Tarragona","36","Tarragonès","43148","431482","Tarragona","00",,"13","Tarragona","352162.348","4552414.578","1.239271570","41.109572550","e3012939@xtec.cat",,,,,,"ESO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1239271570 41109572550)"
"2020/2021","2020","43012976","Institut Escola Mediterrani","1","Públic","01","Departament d'Educació","c. Riu Ter, s/n","43001","977540706","0143","Tarragona","36","Tarragonès","43148","431482","Tarragona","00",,"01","Bonavista","349089.002","4553196.775","1.202493296","41.116050050","e3012976@xtec.cat","http://www.xtec.cat/centres/e3006381",,,"EINF2C","EPRI","ESO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1202493296 41116050050)"
"2020/2021","2020","43013002","A. Hospitalària H.de dia salut mental infanto juvenil deTarragona","1","Públic","02","Altres Departaments","av. Vidal i Barraquer, 27-20 esc. B","43001",,"0143","Tarragona","36","Tarragonès","43148","431482","Tarragona","00",,"13","Tarragona","352348.365","4552781.870","1.241397743","41.112913401","e3013002@xtec.cat",,,,"EINF2C","EPRI","ESO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1241397743 41112913401)"
"2020/2021","2020","43013063","LLI privada Teresianes-Jaycar","2","Privat","22","Fundacions","c. d'Ixart, 10","43003",,"0143","Tarragona","36","Tarragonès","43148","431482","Tarragona","00",,"13","Tarragona","353194.822","4553253.761","1.251362171","41.117315664","e3013063@xtec.cat",,,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1251362171 41117315664)"
"2020/2021","2020","43003884","Escola Antoni Roig","1","Públic","01","Departament d'Educació","av. Sant Jordi. núm. 1(ap.correus 142)","43830","977640836","0143","Tarragona","36","Tarragonès","43153","431536","Torredembarra","00",,"04","Torredembarra","297975.952","4562039.802","0.591219872","41.184535200","e3003884@xtec.cat","http://agora.xtec.cat/escolaantoniroig/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (591219872 41184535200)"
"2020/2021","2020","43006851","Escola Molí de Vent","1","Públic","01","Departament d'Educació","c. de les Escoles, 13-15","43830","977130246","0143","Tarragona","36","Tarragonès","43153","431536","Torredembarra","00",,"04","Torredembarra","309522.993","4545789.826","0.733829493","41.041066010","e3006851@xtec.cat","https://agora.xtec.cat/ceip-molidevent/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (733829493 41041066010)"
"2020/2021","2020","43006952","Institut Torredembarra","1","Públic","01","Departament d'Educació","av. de Sant Jordi, 62-64","43830","977640312","0143","Tarragona","36","Tarragonès","43153","431536","Torredembarra","00",,"04","Torredembarra","369400.901","4564641.694","1.441896874","41.222627803","e3006952@xtec.cat","http://www.instorredembarra.cat/",,,,,"ESO","BATX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1441896874 41222627803)"
"2020/2021","2020","43007661","Institut Ramon de la Torre","1","Públic","01","Departament d'Educació","c. Camí del Moro, 28-40","43830","977642402","0143","Tarragona","36","Tarragonès","43153","431536","Torredembarra","00",,"04","Torredembarra","336464.260","4548003.514","1.053580247","41.066851982","e3007661@xtec.cat","http://www.institutramondelatorre.org",,,,,"ESO","BATX",,"CFPM",,,"CFPS",,,"PFI",,,,,,,,,,,,,,,,,,,,,"POINT (1053580247 41066851982)"
"2020/2021","2020","43009242","Escola L'Antina","1","Públic","01","Departament d'Educació","pg. Miramar, 190-200","43830","977642496","0143","Tarragona","36","Tarragonès","43153","431536","Torredembarra","00",,"04","Torredembarra","384527.770","4561369.170","1.622931849","41.195458034","e3009242@xtec.cat","http://www.escolaantina.cat",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1622931849 41195458034)"
"2020/2021","2020","43009643","Llar d'infants El Cirerer","1","Públic","04","Corporacions Locals","c. Camí de l'Era, 52-54","43830","977642535","0143","Tarragona","36","Tarragonès","43153","431536","Torredembarra","00",,"04","Torredembarra","290735.813","4520113.910","0.519165223","40.805375908","e3009643@xtec.cat","http://www.xtec.cat/centres/e3009643",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (519165223 40805375908)"
"2020/2021","2020","43009746","Esc. de Música Municipal de Torredembarra","1","Públic","04","Corporacions Locals","c. Alt de Sant Pere, 35","43830","977644308","0143","Tarragona","36","Tarragonès","43153","431536","Torredembarra","00",,"04","Torredembarra","346449.467","4582945.478","1.163581885","41.383389745","e3009746@xtec.cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MUSE",,,,,,,"POINT (1163581885 41383389745)"
"2020/2021","2020","43010918","Escola de Dansa Centrescènic","2","Privat","27","Societats Civils","c. Eduard Benot, 11/c. Carnisseria, 9","43830",,"0143","Tarragona","36","Tarragonès","43153","431536","Torredembarra","00",,"04","Torredembarra","296312.077","4499559.602","0.591894148","40.621774986","e3010918@xtec.cat",,,,,,,,,,,,,,,,,,,,,,,,,,"DANE",,,,,,,,,,"POINT (591894148 40621774986)"
"2020/2021","2020","43011650","EB privada La Casa de les Fades","2","Privat","26","Societats Mercantils","c.Joaquim Torres Ibern, 7 local I","43830","977130810","0143","Tarragona","36","Tarragonès","43153","431536","Torredembarra","00",,"04","Torredembarra","366919.302","4556487.292","1.414074135","41.148797253","e3011650@xtec.cat",,,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1414074135 41148797253)"
"2020/2021","2020","43012253","Llar d'infants Els Gegants de la Torre","1","Públic","04","Corporacions Locals","c. de les Escoles, s/n","43830",,"0143","Tarragona","36","Tarragonès","43153","431536","Torredembarra","00",,"04","Torredembarra","306977.302","4510498.738","0.714524715","40.722804206","e3012253@xtec.cat",,,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (714524715 40722804206)"
"2020/2021","2020","43012794","Centre d'Estudis Eqüestres Torredembarra","2","Privat","26","Societats Mercantils","ctra. La Riera, s/n","43830","977640282","0143","Tarragona","36","Tarragonès","43153","431536","Torredembarra","00",,"04","Torredembarra","365303.671","4556261.978","1.394877297","41.146501773","e3012794@xtec.cat",,,,,,,,,"CFPM",,,,,,,,,,,,,,,,,,,,,,,"TEGM","TEGS",,,"POINT (1394877297 41146501773)"
"2020/2021","2020","43004864","Escola Pere Virgili","1","Públic","01","Departament d'Educació","pl. de la Pau, s/n","43141","977840353","0143","Tarragona","36","Tarragonès","43166","431665","Vilallonga del Camp","00",,"01","Vilallonga del Camp","301066.548","4562752.276","0.627807751","41.191712217","e3004864@xtec.cat","http://escolaperevirgili.blogspot.com",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (627807751 41191712217)"
"2020/2021","2020","43010104","Llar d'infants Patufet","1","Públic","04","Corporacions Locals","rbla. Mare de Déu del Roser/pl.de la Pau","43141","977842062","0143","Tarragona","36","Tarragonès","43166","431665","Vilallonga del Camp","00",,"01","Vilallonga del Camp","379814.578","4562134.530","1.566590629","41.201664471","e3010104@xtec.cat","http://www.xtec.cat/centres/e3010104",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1566590629 41201664471)"
"2020/2021","2020","43004979","Escola Torroja i Miret","1","Públic","01","Departament d'Educació","c. Tarragona, 9","43480","977390616","0143","Tarragona","36","Tarragonès","43171","431711","Vila-seca","00",,"05","Vila-seca de Solcina","363545.075","4565342.070","1.371904332","41.227967826","e3004979@xtec.cat","http://agora.xtec.cat/ceip-torrojaimiret/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1371904332 41227967826)"
"2020/2021","2020","43005005","Escola Sant Bernat Calvó","1","Públic","01","Departament d'Educació","c. Requet de Fèlix, 22","43480","977391921","0143","Tarragona","36","Tarragonès","43171","431711","Vila-seca","00",,"05","Vila-seca de Solcina","288568.254","4520449.769","0.493378233","40.807843414","e3005005@xtec.cat","http://agora.xtec.cat/escolasantbernat/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (493378233 40807843414)"
"2020/2021","2020","43005947","Escola Cal·lípolis","1","Públic","01","Departament d'Educació","c. Alfredo Kraus, 22","43481","977371711","0143","Tarragona","36","Tarragonès","43171","431711","Vila-seca","00",,"01","Platja de la Pineda","307686.595","4510241.550","0.722995672","40.720655054","e3005947@xtec.cat","http://agora.xtec.cat/ceipcal-lipolis/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (722995672 40720655054)"
"2020/2021","2020","43005972","Institut Ramon Barbat i Miracle","1","Públic","01","Departament d'Educació","av. de l'Alcalde Pere Molas, s/n","43480","977391379","0143","Tarragona","36","Tarragonès","43171","431711","Vila-seca","00",,"05","Vila-seca de Solcina","376340.729","4563577.999","1.524880236","41.214139732","e3005972@xtec.cat","https://agora.xtec.cat/ies-ramonbarbat-vilaseca",,,,,"ESO","BATX",,"CFPM",,,"CFPS",,,,,,,,,,,,,,,,,,,,,,,,"POINT (1524880236 41214139732)"
"2020/2021","2020","43006241","Escola La Plana","1","Públic","01","Departament d'Educació","Camí Mas de la Cuca, s/n","43480","977391819","0143","Tarragona","36","Tarragonès","43171","431711","Vila-seca","00",,"02","La Plana","340552.241","4558935.872","1.099372002","41.166088483","e3006241@xtec.cat","https://sites.google.com/a/xtec.cat/escolalaplana/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1099372002 41166088483)"
"2020/2021","2020","43006289","Cons. de Música de Vila-seca","1","Públic","04","Corporacions Locals","av. de la Generalitat, 27","43480","977392368","0143","Tarragona","36","Tarragonès","43171","431711","Vila-seca","00",,"05","Vila-seca de Solcina","295989.751","4499593.607","0.588075635","40.622001564","e3006289@xtec.cat","https://www.vila-secamusica.cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MUSP",,,,,,"POINT (588075635 40622001564)"
"2020/2021","2020","43006332","Escola Mestral","1","Públic","01","Departament d'Educació","c. Santiago Rusiñol, s/n","43480","977391820","0143","Tarragona","36","Tarragonès","43171","431711","Vila-seca","00",,"05","Vila-seca de Solcina","295389.625","4509489.671","0.577764245","40.710924771","e3006332@xtec.cat","http://agora.xtec.cat/escolamestralvila-seca/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (577764245 40710924771)"
"2020/2021","2020","43008158","LLI privada Pineda","2","Privat","21","Cooperatives","c. Jacint Verdaguer, 6","43480","977391713","0143","Tarragona","36","Tarragonès","43171","431711","Vila-seca","00",,"05","Vila-seca de Solcina","345725.150","4581987.760","1.155167325","41.374628896","e3008158@xtec.cat","http://www.xtec.cat/centres/e3008158",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1155167325 41374628896)"
"2020/2021","2020","43008523","Institut Vila-seca","1","Públic","01","Departament d'Educació","av. de l'Alcalde Pere Molas, s/n","43480","977394244","0143","Tarragona","36","Tarragonès","43171","431711","Vila-seca","00",,"05","Vila-seca de Solcina","341327.286","4557637.949","1.108941792","41.154555232","e3008523@xtec.cat","http://agora.xtec.cat/iesvila-seca",,,,,"ESO","BATX",,,,,,,,"PFI",,,,,,,,,,,,,,,,,,,,,"POINT (1108941792 41154555232)"
"2020/2021","2020","43008742","Esc. de Música Municipal de Vila-seca","1","Públic","04","Corporacions Locals","av. de la Generalitat, 27","43480","977392368","0143","Tarragona","36","Tarragonès","43171","431711","Vila-seca","00",,"05","Vila-seca de Solcina","381003.128","4570511.047","1.579128812","41.277271313","e3008742@xtec.cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MUSE",,,,,,,"POINT (1579128812 41277271313)"
"2020/2021","2020","43010086","CFA Vilaseca","1","Públic","01","Departament d'Educació","c. Sant Pere, 25 (cant. pl. Estudi, 1)","43480","977391811","0143","Tarragona","36","Tarragonès","43171","431711","Vila-seca","00",,"05","Vila-seca de Solcina","281223.654","4533386.121","0.401839436","40.922336220","e3010086@xtec.cat","http://agora.xtec.cat/cfavilaseca/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ADULTS","POINT (401839436 40922336220)"
"2020/2021","2020","43010426","LLI privada La Formiga","2","Privat","27","Societats Civils","c. de Sant Jordi, 25","43480","977396244","0143","Tarragona","36","Tarragonès","43171","431711","Vila-seca","00",,"05","Vila-seca de Solcina","341060.845","4584330.812","1.098805624","41.394815102","e3010426@xtec.cat","http://www.xtec.cat/centres/e3010426",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1098805624 41394815102)"
"2020/2021","2020","43010530","Escola Miramar","1","Públic","01","Departament d'Educació","c. Era del Delme, 20","43480","977396280","0143","Tarragona","36","Tarragonès","43171","431711","Vila-seca","00",,"05","Vila-seca de Solcina","340628.445","4559127.473","1.100230045","41.167828450","e3010530@xtec.cat","http://blocs.xtec.cat/escolamiramar/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1100230045 41167828450)"
"2020/2021","2020","43011492","Escola La Canaleta","1","Públic","01","Departament d'Educació","c. d'Alfons I, 18","43480","977783565","0143","Tarragona","36","Tarragonès","43171","431711","Vila-seca","00",,"05","Vila-seca de Solcina","349982.353","4561434.855","1.211113249","41.190387961","e3011492@xtec.cat","http://www.lacanaleta.cat",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1211113249 41190387961)"
"2020/2021","2020","43011595","Llar d'infants Fartets","1","Públic","04","Corporacions Locals","c. Luis Mariano, 4","43480",,"0143","Tarragona","36","Tarragonès","43171","431711","Vila-seca","00",,"01","Platja de la Pineda","302621.382","4552768.079","0.649546375","41.102230722","e3011595@xtec.cat",,,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (649546375 41102230722)"
"2020/2021","2020","43012551","Llar d'infants Les Vimeteres","1","Públic","04","Corporacions Locals","c. de l'Era del Delme, s/n","43480",,"0143","Tarragona","36","Tarragonès","43171","431711","Vila-seca","00",,"05","Vila-seca de Solcina","290994.000","4519882.000","0.522304000","40.803353000","e3012551@xtec.cat",,,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (522304000 40803353000)"
"2020/2021","2020","43004931","Escola Santa Maria del Mar","1","Públic","01","Departament d'Educació","c. Juan Manuel Muñoz Rodriguez, 5","43840","977382302","0143","Tarragona","36","Tarragonès","43905","439057","Salou","00",,"01","Salou","360147.559","4567399.334","1.330912256","41.245911310","e3004931@xtec.cat","http://www.santamariadelmar.cat",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1330912256 41245911310)"
"2020/2021","2020","43004967","Elisabeth","2","Privat","21","Cooperatives","c. Miquel Martí i Pol, 1","43840","977383851","0143","Tarragona","36","Tarragonès","43905","439057","Salou","00",,"01","Salou","282475.078","4555137.989","0.409021927","41.118415179","e3004967@xtec.cat","http://www.escolaelisabeth.cat",,"EINF1C","EINF2C","EPRI","ESO","BATX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (409021927 41118415179)"
"2020/2021","2020","43006393","Escola Europa","1","Públic","01","Departament d'Educació","pl. de la Segregació, 2","43840","977384996","0143","Tarragona","36","Tarragonès","43905","439057","Salou","00",,"01","Salou","343598.120","4555517.847","1.136532385","41.135908513","e3006393@xtec.cat","https://agora.xtec.cat/escolaeuropa/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1136532385 41135908513)"
"2020/2021","2020","43007026","LLI privada Nou Esplai","2","Privat","41","Persones Físiques","c. Berlín, s/n","43840","977383274","0143","Tarragona","36","Tarragonès","43905","439057","Salou","00",,"01","Salou","336678.379","4585239.762","1.046167258","41.402119888","e3007026@xtec.cat","http://www.xtec.cat/centres/e3007026",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1046167258 41402119888)"
"2020/2021","2020","43007518","Esc. de Música Municipal","1","Públic","04","Corporacions Locals","c. advocat Gallego, 2/arquit.Ubach, 1","43840","977381008","0143","Tarragona","36","Tarragonès","43905","439057","Salou","00",,"01","Salou","385953.343","4561987.515","1.639812657","41.201228471","e3007518@xtec.cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MUSE",,,,,,,"POINT (1639812657 41201228471)"
"2020/2021","2020","43007543","Institut Jaume I","1","Públic","01","Departament d'Educació","c. Advocat Gallego, 6","43840","977384771","0143","Tarragona","36","Tarragonès","43905","439057","Salou","00",,"01","Salou","377437.896","4563916.534","1.537896251","41.217355114","e3007543@xtec.cat","http://www.iesjaume1.cat",,,,,"ESO","BATX",,"CFPM",,,"CFPS",,,,,,,,,,,,,,,,,,,,"TEGM","TEGS",,,"POINT (1537896251 41217355114)"
"2020/2021","2020","43009451","Escola Salou","1","Públic","01","Departament d'Educació","c. Rosa Sensat, 2","43840","977383646","0143","Tarragona","36","Tarragonès","43905","439057","Salou","00",,"01","Salou","344405.153","4552559.232","1.146892755","41.109426253","e3009451@xtec.cat","http://agora.xtec.cat/escola-salou/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1146892755 41109426253)"
"2020/2021","2020","43010153","Escola Vora Mar","1","Públic","01","Departament d'Educació","c. Maria Castillo, s/n","43840","977352900","0143","Tarragona","36","Tarragonès","43905","439057","Salou","00",,"01","Salou","382674.236","4569465.715","1.599278034","41.268102490","e3010153@xtec.cat","http://escolavoramar.blogspot.com.es/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1599278034 41268102490)"
"2020/2021","2020","43010347","Institut Marta Mata","1","Públic","01","Departament d'Educació","c. Domènech Sugrañes i Gras, s/n","43840","977353242","0143","Tarragona","36","Tarragonès","43905","439057","Salou","00",,"01","Salou","288247.833","4510410.763","0.492982267","40.717410216","e3010347@xtec.cat","http://institutmartamata.cat",,,,,"ESO","BATX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (492982267 40717410216)"
"2020/2021","2020","43010921","Llar d'infants La Balena Blava","1","Públic","04","Corporacions Locals","c. de Barcelona, 95","43840","977383409","0143","Tarragona","36","Tarragonès","43905","439057","Salou","00",,"01","Salou","341887.202","4557881.559","1.115548574","41.156857819","e3010921@xtec.cat",,,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1115548574 41156857819)"
"2020/2021","2020","43011200","EOI de Salou","1","Públic","01","Departament d'Educació","pg. 30 d'octubre, 4","43840","977353008","0143","Tarragona","36","Tarragonès","43905","439057","Salou","00",,"01","Salou","274427.244","4552444.250","0.314250181","41.091981599","e3011200@xtec.cat",,,,,,,,,,,,,,,,,,,,,,,,,"IDI",,,,,,,,,,,"POINT (314250181 41091981599)"
"2020/2021","2020","43011765","CFA Àgora","1","Públic","04","Corporacions Locals","av. de Pau Casals, s/n","43840","977388851","0143","Tarragona","36","Tarragonès","43905","439057","Salou","00",,"01","Salou","341257.155","4557269.215","1.108201884","41.151221770","e3011765@xtec.cat","https://agora.xtec.cat/cfaagorasalou/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ADULTS","POINT (1108201884 41151221770)"
"2020/2021","2020","43012022","Llar d'infants Cavallet de Mar","1","Públic","04","Corporacions Locals","c. de Domènech Sugrañes i Gras","43840",,"0143","Tarragona","36","Tarragonès","43905","439057","Salou","00",,"01","Salou","352498.030","4553436.258","1.243022374","41.118832584","e3012022@xtec.cat",,,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1243022374 41118832584)"
"2020/2021","2020","43012666","EIC","2","Privat","22","Fundacions","c. Salvador Espriu, s/n","43840",,"0143","Tarragona","36","Tarragonès","43905","439057","Salou","00",,"01","Salou","344607.361","4550635.516","1.149786106","41.092145026","e3012666@xtec.cat",,,"EINF1C","EINF2C","EPRI","ESO","BATX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1149786106 41092145026)"
"2020/2021","2020","43003185","Escola La Canonja","1","Públic","01","Departament d'Educació","c. Carrasco i Formiguera, 8","43110","977545627","0143","Tarragona","36","Tarragonès","43907","439076","La Canonja","00",,"01","La Canonja","290437.495","4521170.445","0.515276909","40.814808701","e3003185@xtec.cat","http://blocs.xtec.cat/escolalacanonja/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (515276909 40814808701)"
"2020/2021","2020","43008237","LLI privada Mare de Déu de l'Esperança","2","Privat","22","Fundacions","c. Major de Masricart, 10","43110","977550550","0143","Tarragona","36","Tarragonès","43907","439076","La Canonja","00",,"01","La Canonja","353782.941","4572196.435","1.253835241","41.287976680","e3008237@xtec.cat","http://www.xtec.cat/centres/e3008237",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1253835241 41287976680)"
"2020/2021","2020","43008481","Institut Collblanc","1","Públic","01","Departament d'Educació","c. Carrasco i Formiguera, 12","43110","977551716","0143","Tarragona","36","Tarragonès","43907","439076","La Canonja","00",,"01","La Canonja","294926.887","4509725.778","0.572213664","40.712934832","e3008481@xtec.cat","http://agora.xtec.cat/iescollblanc",,,,,"ESO","BATX",,"CFPM",,,,,,"PFI",,,,,,,,,,,,,,,,,,,,,"POINT (572213664 40712934832)"
"2021/2022","2021","43000251","Escola La Portalada","1","Públic","01","Departament d'Educació","c. Portalada, 7","43893","977650323","0143","Tarragona","36","Tarragonès","43012","430120","Altafulla","00",,"01","Altafulla","363360.611","4555771.771","1.371840713","41.141762846","e3000251@xtec.cat","http://e3000251.wixsite.com/escolalaportalada",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1371840713 41141762846)"
"2021/2022","2021","43007488","Llar d'infants Francesc Blanch i Ribé","1","Públic","04","Corporacions Locals","c. de la Mainada, s/n","43893","977650008","0143","Tarragona","36","Tarragonès","43012","430120","Altafulla","00",,"01","Altafulla","363565.488","4555737.497","1.374288654","41.141488704","e3007488@xtec.cat","http://www.xtec.cat/centres/e3007488",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1374288654 41141488704)"
"2021/2022","2021","43009977","Institut d'Altafulla","1","Públic","01","Departament d'Educació","c. Camí de l'Oliverot, s/n","43893","977651662","0143","Tarragona","36","Tarragonès","43012","430120","Altafulla","00",,"01","Altafulla","363893.816","4556142.403","1.378109558","41.145189777","e3009977@xtec.cat","https://agora.xtec.cat/insaltafulla",,,,,"ESO","BATX","AA01",,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1378109558 41145189777)"
"2021/2022","2021","43010402","Escola El Roquissar","1","Públic","01","Departament d'Educació","c. Roquissar, 8","43893","977651969","0143","Tarragona","36","Tarragonès","43012","430120","Altafulla","00",,"01","Altafulla","363790.877","4556338.671","1.376839780","41.146939775","e3010402@xtec.cat","http://agora.xtec.cat/escolaelroquissar/",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1376839780 41146939775)"
"2021/2022","2021","43011297","Llar d'infants Hort de Pau","1","Públic","04","Corporacions Locals","c. de la Cabana-Sector PP5 l'Hort de Pau","43893",,"0143","Tarragona","36","Tarragonès","43012","430120","Altafulla","00",,"01","Altafulla","363682.524","4555331.543","1.375772886","41.137853004","e3011297@xtec.cat","0",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1375772886 41137853004)"
"2021/2022","2021","43011674","Esc. de Música Municipal d'Altafulla","1","Públic","04","Corporacions Locals","c. Sant Antoni Abat, 11-13","43893",,"0143","Tarragona","36","Tarragonès","43012","430120","Altafulla","00",,"01","Altafulla","363645.163","4555635.804","1.375260275","41.140586415","e3011674@xtec.cat","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"MUSE",,,,,,,"POINT (1375260275 41140586415)"
"2021/2022","2021","43010499","CFA Pau Casals","1","Públic","01","Departament d'Educació","Trav. Comella Moro, 15 (CP Mas Enric)","43764","977240142","0143","Tarragona","36","Tarragonès","43043","430430","El Catllar","00",,"01","El Catllar","355455.779","4556553.604","1.277504149","41.147432851","e3010499@xtec.cat","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ADULTS","POINT (1277504149 41147432851)"
"2021/2022","2021","43011261","Llar d'infants L'Agulla del Catllar","1","Públic","04","Corporacions Locals","c. de França, s/n","43764",,"0143","Tarragona","36","Tarragonès","43043","430430","El Catllar","00",,"01","El Catllar","359487.238","4559513.858","1.324847324","41.174795625","e3011261@xtec.cat","0",,"EINF1C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1324847324 41174795625)"
"2021/2022","2021","43012745","The British School of Costa Daurada","2","Privat","26","Societats Mercantils","c. del Mas de la Creu, 4","43764",,"0143","Tarragona","36","Tarragonès","43043","430430","El Catllar","00",,"01","El Catllar","358570.000","4556985.000","1.314510000","4115190.000000000","e3012745@xtec.cat","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ESTR",,"POINT (1314510000 4115190000000000)"
"2021/2022","2021","43012812","Institut Escola L'Agulla","1","Públic","01","Departament d'Educació","av. Catalunya, 3","43764",,"0143","Tarragona","36","Tarragonès","43043","430430","El Catllar","00",,"01","El Catllar","359895.841","4559564.265","1.329705061","41.175320227","e3012812@xtec.cat","http://www.escolalagulla.com",,,"EINF2C","EPRI","ESO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1329705061 41175320227)"
"2021/2022","2021","43000895","Escola Mossèn Ramon Bergadà","1","Públic","01","Departament d'Educació","c. Jaume I, s/n","43120","977521790","0143","Tarragona","36","Tarragonès","43047","430477","Constantí","00",,"01","Constantí","350512.001","4557161.356","1.218469066","41.152008976","e3000895@xtec.cat","http://agora.xtec.cat/ceipramonbergada",,,"EINF2C","EPRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (1218469066 41152008976)"
